x,y,theta
1,0,1.5708
0.872401,0.155949,1.68254
0.860683,0.260378,1.78202
0.840011,0.35679,1.87857
0.886768,0.445302,1.93398
0.85196,0.536891,2.03774
0.806641,0.626785,2.1363
0.851386,0.741497,2.14569
0.798859,0.822571,2.24496
0.73679,0.900249,2.33609
0.533427,0.874245,2.56388
0.44938,0.929035,2.66227
0.358309,0.97637,2.75093
0.2515,1.00358,2.87407
0.157638,1.0293,2.97017
0.0614373,1.04596,3.0655
0.0221274,1.09168,3.10911
-0.075366,1.09485,3.21431
-0.185724,1.08681,3.30234
-0.280714,1.10433,3.38281
-0.387214,1.07813,3.4777
-0.480235,1.04563,3.58006
-0.53428,0.866743,3.76656
-0.623251,0.802556,3.86337
-0.693958,0.740319,3.97022
-0.802366,0.658271,4.0723
-0.863979,0.575534,4.17285
-0.913391,0.493016,4.27767
-1.01726,0.470797,4.32077
-1.0565,0.375783,4.42896
-1.08289,0.285162,4.53001
-1.07622,0.147437,4.65833
-1.08186,0.0432454,4.76371
-1.07658,-0.0595305,4.86338
-1.0733,-0.135657,4.9533
-1.049,-0.234554,5.05344
-1.01666,-0.325658,5.15394
-0.939866,-0.433258,5.26926
-0.887809,-0.516869,5.37164
-0.828995,-0.592767,5.47775
-0.711553,-0.698478,5.60299
-0.636281,-0.759371,5.71219
-0.549412,-0.815174,5.80898
-0.497443,-0.884806,5.88458
-0.402639,-0.924733,5.98343
-0.312019,-0.952741,6.09035
-0.220834,-0.966169,6.1833
-0.124326,-0.975841,6.28757
-0.0205201,-0.975386,6.38718
0.0487403,-0.962497,6.47893
0.148093,-0.942797,6.57574
0.238081,-0.915693,6.67596
0.362946,-0.875365,6.77752
0.449365,-0.828788,6.87297
0.534716,-0.771667,6.97395
0.634426,-0.718111,7.05873
0.703036,-0.65084,7.15796
0.770702,-0.569852,7.25088
0.850614,-0.428059,7.37014
0.89966,-0.334729,7.46489
0.93833,-0.24041,7.56887
0.906991,-0.169049,7.67995
0.922475,-0.0809808,7.77771
0.929772,0.0145157,7.87107
0.88466,0.0900286,7.9822
0.872318,0.185755,8.07796
0.850837,0.280054,8.18617
0.818725,0.409364,8.29028
0.775878,0.501257,8.38986
0.725064,0.586827,8.49315
0.668184,0.656605,8.59625
0.596842,0.734382,8.69332
0.513465,0.809216,8.80262
0.448269,0.858112,8.89488
0.357358,0.911366,8.9909
0.263509,0.954848,9.0914
0.143655,0.991427,9.20387
0.0465334,1.01324,9.30099
-0.0489063,1.02511,9.39994
-0.148104,1.01891,9.49648
-0.244802,1.01197,9.59018
-0.346735,0.994954,9.69454
-0.422571,1.00801,9.76739
-0.5159,0.974725,9.87139
-0.615195,0.927174,9.96153
-0.693616,0.940958,10.0165
-0.769987,0.889629,10.1077
-0.849273,0.825132,10.2098
-0.858463,0.713439,10.336
-0.920594,0.633317,10.437
-0.974269,0.547428,10.5332
-0.988259,0.362518,10.6822
-1.01889,0.268,10.7865
-1.04109,0.16332,10.8903
-1.04854,0.110519,10.9688
-1.05107,0.0158832,11.0655
-1.04443,-0.0789362,11.1678
-1.06865,-0.13077,11.2372
-1.04874,-0.211572,11.3359
-1.01442,-0.308497,11.4319
-0.892931,-0.393974,11.5674
-0.837771,-0.479688,11.6639
-0.77612,-0.55777,11.7606
-0.709916,-0.631843,11.8618
-0.634948,-0.695582,11.9595
-0.556537,-0.750023,12.0557
-0.38534,-0.817319,12.1932
-0.284817,-0.856676,12.2877
-0.198359,-0.881415,12.3885
-0.111378,-0.885606,12.4881
-0.0168409,-0.893018,12.5859
0.0827677,-0.891069,12.6895
0.146572,-0.918589,12.7705
0.238047,-0.899652,12.8655
0.338216,-0.868761,12.9614
