x,y
0.759632,0.213443
1.00042,0.421598
1.00143,0.777229
0.35989,0.69937
0.212119,1.00235
0.20102,1.09935
-0.293965,1.16784
-0.29741,0.606481
-0.990819,0.630414
-1.19986,0.60444
-1.02154,0.069011
-1.09058,-0.0935306
-0.862398,-0.481121
-0.597237,-0.843128
-0.57286,-0.979364
-0.285992,-0.918335
-0.087286,-0.921383
0.508902,-0.890622
0.730857,-0.749608
0.985381,-0.259731
0.648053,-0.292993
0.71098,-0.0325199
0.847276,0.561459
0.668307,0.620904
0.494321,0.808802
0.054713,1.0365
-0.124824,0.983871
-0.399498,1.10888
-0.664543,1.10904
-0.581065,0.624785
-0.919717,0.128714
-0.992661,0.261031
-1.15852,-0.00332274
-0.6737,-0.31497
-0.718424,-0.639316
-0.150749,-0.941114
-0.189108,-0.808782
0.0779394,-1.0201
0.471568,-0.661467
0.9279,-0.443138
0.853691,-0.509538
1.13061,-0.270461
0.927169,0.26106
0.861924,0.762769
0.81253,0.49384
1.04406,0.882374
0.518531,0.856482
0.052382,0.933923
-0.269709,0.919701
-0.382793,0.996409
-0.836241,0.443372
-0.822476,0.33094
-1.01014,-0.0307846
-0.782391,-0.325781
-0.870753,-0.554347
-0.310109,-0.663139
-0.649145,-1.05435
-0.0549429,-0.94996
0.293555,-1.03004
0.468965,-0.765619
0.402735,-0.516331
0.95007,-0.410045
1.01983,-0.035611
0.922159,0.0642324
0.972173,0.438119
0.919096,0.669334
0.635313,0.870908
