x,y,theta
1,0,1.5708
1,0.1,1.6708
0.990017,0.1995,1.7708
0.97015,0.297507,1.8708
0.940598,0.393041,1.9708
0.901656,0.485147,2.0708
0.853713,0.572905,2.1708
0.797249,0.655439,2.2708
0.732827,0.731923,2.3708
0.661092,0.801594,2.4708
0.582759,0.863755,2.5708
0.498612,0.917785,2.6708
0.409491,0.963144,2.7708
0.316287,0.99938,2.8708
0.219931,1.02613,2.9708
0.121386,1.04313,3.0708
0.021637,1.0502,3.1708
-0.0783204,1.04728,3.2708
-0.177487,1.0344,3.3708
-0.274872,1.01168,3.4708
-0.369502,0.979347,3.5708
-0.460431,0.937732,3.6708
-0.546752,0.887248,3.7708
-0.627602,0.828397,3.8708
-0.702172,0.76177,3.9708
-0.769719,0.688031,4.0708
-0.829566,0.607916,4.1708
-0.881116,0.522227,4.2708
-0.923854,0.43182,4.3708
-0.957353,0.337598,4.4708
-0.981278,0.240502,4.5708
-0.99539,0.141503,4.6708
-0.999548,0.0415892,4.7708
-0.993711,-0.0582402,4.8708
-0.977936,-0.156988,4.9708
-0.952382,-0.253668,5.0708
-0.917304,-0.347314,5.1708
-0.873051,-0.43699,5.2708
-0.820068,-0.5218,5.3708
-0.758882,-0.600896,5.4708
-0.690105,-0.67349,5.5708
-0.614425,-0.738854,5.6708
-0.532598,-0.796336,5.7708
-0.44544,-0.845362,5.8708
-0.353823,-0.885442,5.9708
-0.258663,-0.916176,6.0708
-0.16091,-0.937255,6.1708
-0.061541,-0.94847,6.2708
0.0384513,-0.949709,6.3708
0.138068,-0.940959,6.4708
0.236313,-0.922308,6.5708
0.332205,-0.893942,6.6708
0.424787,-0.856144,6.7708
0.513132,-0.809292,6.8708
0.596359,-0.753855,6.9708
0.673636,-0.690386,7.0708
0.74419,-0.619519,7.1708
0.807316,-0.541962,7.2708
0.862385,-0.458491,7.3708
0.908845,-0.369939,7.4708
0.946233,-0.277191,7.5708
0.974174,-0.181174,7.6708
0.992391,-0.0828473,7.7708
1.0007,0.016807,7.8708
0.999018,0.116793,7.9708
0.987363,0.216111,8.0708
0.965851,0.31377,8.1708
0.934697,0.408793,8.2708
0.894212,0.500232,8.3708
0.844801,0.587171,8.4708
0.786957,0.668744,8.5708
0.721258,0.744134,8.6708
0.648361,0.812589,8.7708
0.568994,0.873424,8.8708
0.483951,0.926032,8.9708
0.39408,0.969886,9.0708
0.30028,1.00455,9.1708
0.203488,1.02968,9.2708
0.104671,1.04501,9.3708
0.00481676,1.05041,9.4708
-0.0950774,1.04581,9.5708
-0.194013,1.03126,9.6708
-0.291002,1.0069,9.7708
-0.385075,0.972989,9.8708
-0.475292,0.929851,9.9708
-0.560752,0.877922,10.0708
-0.640601,0.817721,10.1708
-0.714041,0.749849,10.2708
-0.780338,0.674984,10.3708
-0.838829,0.593875,10.4708
-0.888931,0.507332,10.5708
-0.930143,0.416218,10.6708
-0.962053,0.321446,10.7708
-0.984342,0.223962,10.8708
-0.996788,0.124739,10.9708
-0.999265,0.0247701,11.0708
-0.99175,-0.0749471,11.1708
-0.974317,-0.173416,11.2708
-0.947141,-0.269652,11.3708
-0.910493,-0.362695,11.4708
-0.86474,-0.451614,11.5708
-0.810338,-0.535521,11.6708
-0.747831,-0.613578,11.7708
-0.677843,-0.685005,11.8708
-0.601075,-0.749087,11.9708
-0.518292,-0.805186,12.0708
-0.430322,-0.852739,12.1708
-0.338045,-0.891273,12.2708
-0.242381,-0.920402,12.3708
-0.144288,-0.939835,12.4708
-0.044744,-0.949378,12.5708
0.055255,-0.948935,12.6708
0.15471,-0.938512,12.7708
0.252628,-0.918211,12.8708
0.34803,-0.888237,12.9708
0.439963,-0.848888,13.0708
0.527508,-0.800557,13.1708
0.609791,-0.743728,13.2708
0.685989,-0.678969,13.3708
0.755342,-0.606925,13.4708
0.817155,-0.528318,13.5708
0.870813,-0.443933,13.6708
0.915777,-0.354612,13.7708
0.9516,-0.261249,13.8708
0.977924,-0.164776,13.9708
0.994484,-0.0661565,14.0708
1.00112,0.0336233,14.1708
0.997754,0.133567,14.2708
0.984431,0.232675,14.3708
0.96128,0.329958,14.4708
0.928532,0.424445,14.5708
0.886516,0.515189,14.6708
0.835649,0.601286,14.7708
0.776442,0.681874,14.8708
0.709485,0.756149,14.9708
0.635448,0.823368,15.0708
0.555069,0.882861,15.1708
0.469153,0.934031,15.2708
0.378557,0.976368,15.3708
0.284188,1.00945,15.4708
0.186987,1.03294,15.5708
0.0879264,1.04662,15.6708
-0.0120046,1.05033,15.7708
-0.111807,1.04406,15.8708
-0.210484,1.02784,15.9708
-0.30705,1.00186,16.0708
-0.40054,0.96637,16.1708
-0.490019,0.921721,16.2708
-0.574594,0.868363,16.3708
-0.653419,0.806827,16.4708
-0.725707,0.73773,16.5708
-0.790736,0.661761,16.6708
-0.847855,0.57968,16.7708
-0.896495,0.492306,16.8708
-0.936169,0.400513,16.9708
-0.966481,0.305218,17.0708
-0.987128,0.207373,17.1708
-0.997903,0.107955,17.2708
-0.9987,0.00795813,17.3708
-0.989509,-0.0916186,17.4708
-0.970423,-0.18978,17.5708
-0.941633,-0.285546,17.6708
-0.903426,-0.37796,17.7708
-0.856183,-0.466097,17.8708
-0.800378,-0.549077,17.9708
-0.736567,-0.626072,18.0708
-0.665389,-0.696312,18.1708
-0.587554,-0.759095,18.2708
-0.50384,-0.813793,18.3708
-0.415083,-0.859861,18.4708
-0.32217,-0.896838,18.5708
-0.226031,-0.924354,18.6708
-0.127624,-0.942135,18.7708
-0.0279341,-0.950003,18.8708
0.0720433,-0.947879,18.9708
0.171309,-0.935785,19.0708
0.268872,-0.913841,19.1708
0.363756,-0.882266,19.2708
0.455015,-0.841377,19.3708
0.541735,-0.791582,19.4708
0.62305,-0.733377,19.5708
0.698149,-0.667345,19.6708
0.766281,-0.594146,19.7708
0.826764,-0.514511,19.8708
0.878995,-0.429235,19.9708
0.922451,-0.339171,20.0708
0.956699,-0.245219,20.1708
0.981397,-0.148317,20.2708
0.996297,-0.049433,20.3708
1.00125,0.0504443,20.4708
0.996208,0.150317,20.5708
0.98122,0.249188,20.6708
0.956437,0.346068,20.7708
0.922105,0.43999,20.8708
0.878569,0.530015,20.9708
0.826262,0.615244,21.0708
0.765708,0.694826,21.1708
0.697512,0.767965,21.2708
0.622354,0.833929,21.3708
0.540987,0.892062,21.4708
0.454223,0.94178,21.5708
